,NT12230,NT12655,NT12182,NT12355,NT12022,NT12074,NT12174,NT12503,NT12794,NT12033,NT12775,NT12396,NT12103,NT12191,NT12183,NT12092,NT12639,NT12811,NT12475,NT12495,NT12764,NT12804,NT12802,NT12333,NT12616,NT12521,NT12537,NT12701,NT12851,NT12557,NT12337,NT12523,NT12346,NT12601,NT12054,NT12106,NT12675,NT12572,NT12589,NT12096,NT12373,NT12541,NT12468,NT12420,NT12778,NT12123,NT12707,NT12492,NT12102,NT12504,NT12720,NT12218,NT12083,NT12507,NT12099,NT12522,NT12159,NT12326,NT12684,NT12806,NT12041,NT12668,NT12470,NT12659,NT12308,NT12854,NT12164,NT12127,NT12043,NT12748,NT12821,NT12264,NT12314,NT12643,NT12239,NT12768,NT12189,NT12763,NT12010,NT12146,NT12657,NT12810,NT12704,NT12622,NT12413,NT12032,NT12647,NT12223,NT12029,NT12469,NT12087,NT12144,NT12706,NT12115,NT12571,NT12730,NT12581,NT12513,NT12502,NT12147,NT12863,NT12646,NT12501,NT12014,NT12018,NT12579,NT12751,NT12480,NT12048,NT12749,NT12505,NT12835,NT12771,NT12767,NT12023,NT12787,NT12060,NT12545,NT12485,NT12531,NT12036,NT12714,NT12118,NT12384,NT12666,NT12762,NT12732,NT12671,NT12068,NT12619,NT12037,NT12163,NT12070,NT12715,NT12203,NT12663,NT12717,NT12305,NT12329,NT12299,NT12645,NT12710,NT12055,NT12358,NT12328,NT12494,NT12151,NT12516,NT12477,NT12779,NT12298,NT12832,NT12038,NT12158,NT12569,NT12361,NT12180,NT12641,NT12633,NT12330,NT12524,NT12057,NT12093,NT12871,NT12381,NT12489,NT12285,NT12577,NT12331,NT12765,NT12134,NT12004,NT12550,NT12294,NT12192,NT12360,NT12544,NT12782,NT12395,NT12754,NT12398,NT12598,NT12672,NT12630,NT12575,NT12858,NT12288,NT12745,NT12650,NT12193,NT12233,NT12173,NT12737,NT12727,NT12526,NT12642,NT12172,NT12621,NT12721,NT12734,NT12476,NT12592,NT12709,NT12321,NT12340,NT12226,NT12343,NT12506,NT12774,NT12367,NT12466,NT12580,NT12759,NT12130,NT12739,NT12335,NT12594,NT12108,NT12378,NT12125,NT12733,NT12442,NT12566,NT12651,NT12540,NT12844,NT12131,NT12094,NT12607,NT12781,NT12813,NT12542,NT12015,NT12603,NT12582,NT12689,NT12809,NT12692,NT12870,NT12320,NT12481,NT12801,NT12665,NT12868,NT12319,NT12625,NT12696,NT12610,NT12091,NT12703,NT12141,NT12073,NT12109,NT12595,NT12680,NT12112,NT12232,NT12181,NT12803,NT12875,NT12338,NT12472,NT12152,NT12789,NT12412,NT12467,NT12843,NT12796,NT12551,NT12194,NT12128,NT12219,NT12814,NT12479,NT12452,NT12849,NT12517,NT12529,NT12583,NT12731,NT12098,NT12568,NT12065,NT12169,NT12388,NT12402,NT12840,NT12744,NT12390,NT12025,NT12197,NT12110,NT12306,NT12555,NT12543,NT12716,NT12310,NT12075,NT12565,NT12656,NT12584,NT12195,NT12688,NT12690,NT12100,NT12088,NT12831,NT12369,NT12460,NT12826,NT12845,NT12363,NT12211,NT12800,NT12196,NT12028,NT12315,NT12834,NT12842,NT12674,NT12295,NT12121,NT12459,NT12611,NT12758,NT12450,NT12317,NT12487,NT12177,NT12511,NT12777,NT12878,NT12530,NT12682,NT12179,NT12175,NT12221,NT12649,NT12137,NT12867,NT12578,NT12512,NT12135,NT12440,NT12780,NT12597,NT12743,NT12556,NT12815,NT12082,NT12035,NT12596,NT12712,NT12726,NT12711,NT12824,NT12277,NT12563,NT12576,NT12463,NT12617,NT12451,NT12628,NT12670,NT12554,NT12166,NT12447,NT12030,NT12519,NT12736,NT12677,NT12432,NT12062,NT12791,NT12723,NT12342,NT12323,NT12210,NT12170,NT12204,NT12072,NT12699,NT12606,NT12201,NT12007,NT12805,NT12660,NT12044,NT12533,NT12532,NT12626,NT12713,NT12615,NT12132,NT12157,NT12850,NT12122,NT12552,NT12798,NT12391,NT12614,NT12039,NT12003,NT12640,NT12372,NT12496,NT12608,NT12857,NT12750,NT12393,NT12190,NT12162,NT12394,NT12658,NT12786,NT12570,NT12618,NT12725,NT12676,NT12560,NT12833,NT12399,NT12547,NT12085,NT12669,NT12114,NT12820,NT12525,NT12375,NT12422,NT12359,NT12136,NT12518,NT12017,NT12220,NT12546,NT12549,NT12587,NT12153,NT12101,NT12056,NT12654,NT12719,NT12593,NT12155,NT12664,NT12457,NT12562,NT12760,NT12634,NT12498,NT12885,NT12138,NT12515,NT12262,NT12066,NT12111,NT12429,NT12783,NT12024,NT12246,NT12766,NT12807,NT12772,NT12859,NT12808,NT12001,NT12724,NT12752,NT12535,NT12612,NT12553,NT12325,NT12829,NT12145,NT12270,NT12013,NT12567,NT12605,NT12027,NT12426,NT12341,NT12473,NT12819,NT12139,NT12105,NT12599,NT12635,NT12248,NT12427,NT12255,NT12474,NT12245,NT12490,NT12483,NT12585,NT12188,NT12086,NT12620,NT12161,NT12414,NT12862,NT12050,NT12058,NT12790,NT12691,NT12441,NT12332,NT12588,NT12119,NT12773,NT12005,NT12623,NT12117,NT12678,NT12407,NT12465,NT12880,NT12178,NT12876,NT12097,NT12421,NT12344,NT12586,NT12257,NT12661,NT12392,NT12217,NT12052,NT12602,NT12371,NT12040,NT12150,NT12722,NT12848,NT12184,NT12309,NT12509,NT12364,NT12081,NT12026,NT12776,NT12090,NT12349,NT12653,NT12493,NT12673,NT12679,NT12154,NT12564,NT12286,NT12873,NT12202,NT12823,NT12693,NT12334,NT12853,NT12347,NT12303,NT12637,NT12224,NT12076,NT12002,NT12095,NT12079,NT12140,NT12784,NT12539,NT12761,NT12667,NT12632,NT12746,NT12406,NT12478,NT12251,NT12031,NT12291,NT12215,NT12769,NT12698,NT12855,NT12825,NT12497,NT12350,NT12272,NT12448,NT12160,NT12167,NT12187,NT12687,NT12149,NT12591,NT12514,NT12084,NT12685,NT12627,NT12327,NT12638,NT12847,NT12729,NT12213,NT12574,NT12354,NT12287,NT12435,NT12186,NT12852,NT12034,NT12042,NT12471,NT12508,NT12484,NT12225,NT12561,NT12464,NT12400,NT12861,NT12648,NT12818,NT12486,NT12510,NT12133,NT12573,NT12700,NT12124,NT12757,NT12165,NT12590,NT12424,NT12362,NT12205,NT12148,NT12020,NT12016,NT12061,NT12856,NT12404,NT12006,NT12176,NT12425,NT12312,NT12604,NT12742,NT12624,NT12872,NT12838,NT12089,NT12874,NT12812,NT12265,NT12839,NT12558,NT12143,NT12491,NT12212,NT12520,NT12740,NT12785,NT12045,NT12799,NT12702,NT12199,NT12735,NT12011,NT12559,NT12171,NT12534,NT12069,NT12129,NT12681,NT12753,NT12629,NT12747,NT12694,NT12528,NT12104,NT12538,NT12883,NT12865,NT12482,NT12728,NT12365,NT12662,NT12348,NT12631,NT12302,NT12458,NT12382,NT12453,NT12064,NT12708,NT12423,NT12795,NT12718,NT12387,NT12370,NT12292,NT12609,NT12527,NT12488,NT12600,NT12756,NT12846,NT12738,NT12499,NT12156,NT12368,NT12822,NT12797,NT12741,NT12705,NT12389,NT12869,NT12636,NT12500,NT12116,NT12142,NT12311,NT12879,NT12755,NT12827,NT12353,NT12830,NT12418,NT12168,NT12282,NT12686
NT12230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT12655,0.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT12182,0.5147839272,0.5147839272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT12355,0.0192307692,0.0192307692,0.5216072782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT12022,0.0012300123,0.0012300123,0.5100154083,0.0172201722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT12074,0.5147839272,0.5147839272,0.0006410256,0.5216072782,0.5100154083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT12174,0.0211538462,0.0211538462,0.5231235785,0.0032051282,0.0172201722,0.5231235785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT12503,0.0000000000,0.0000000000,0.5147839272,0.0192307692,0.0012300123,0.5147839272,0.0211538462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT12794,0.0000000000,0.0000000000,0.5147839272,0.0192307692,0.0012300123,0.5147839272,0.0211538462,0.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT12033,0.5155420773,0.5155420773,0.0006410256,0.5223654284,0.5115562404,0.0012820513,0.5238817286,0.5155420773,0.5155420773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
